First Last,First,Last,Company,Domain
Suz Somersall,Suz,Somersall,Kirakira,www.kirakira.com
Raf Niclaes,Raf,Niclaes,Janna Conner,www.jannaconner.com
Lepa Roskopp,Lepa,Roskopp,Misahara Jewelry,www.misahara.com
Michael Pollak,Michael,Pollak,Hyde Park Jewelers,www.hpjewels.com
Raphi Mahgerefteh,Raphi,Mahgerefteh,Allurez,www.allurez.com
Alex Schulze,Alex,Schulze,4Ocean,www.4ocean.com
Becky Hosmer,Becky,Hosmer,Anna Beck,www.annabeck.com
Chris Graves,Chris,Graves,CG Creations,www.cgcreations.com
Tara Silberberg,Tara,Silberberg,The Clay Pot,www.clay-pot.com
David Beattie,David,Beattie,Slot Mods USA,www.slotmods.com
Judy Smith,Judy,Smith,"Morrison Smith Jewelers, Inc",www.morrisonsmith.com
Asaad Malak,Asaad,Malak,Malak Jewelers,www.malakjewelers.com
Philip Higgins,Philip,Higgins,Morgan Jewelers,www.morganjewelers.com
John Dorociak,John,Dorociak,Barnhardt Jewelers,www.barnhardtjewelers.com
Rich Stelfox,Rich,Stelfox,Golden Eagle Coins,www.goldeneaglecoin.com
Craig Daily,Craig,Daily,Bremer Jewelry,www.bremerjewelry.com
Peter Manka,Peter,Manka,Ben Garelick Jewelers,www.bengarelick.com
Michael Saiger Miansai,Michael,Miansai,Miansai,www.miansai.com
David Joseph,David,Joseph,"Bochic, Inc.",www.bochic.com
Zubair Ahmadi,,,Amadi Carpets Inc.,www.amadicarpets.com
